2018-11-19-12:19:34<==>/MM/usermodules2.php<==>Menu inserted by boopathi<==>192.168.57.28<==>Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
2018-11-19-12:20:59<==>/MM/usermodules2.php<==>Menu inserted by boopathi<==>192.168.57.28<==>Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
2018-11-19-12:29:31<==>/MM/usermodules2.php<==>Menu inserted by boopathi<==>192.168.57.28<==>Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
2018-11-19-12:57:11<==>/MM/usergroup2.php?Tmd3ZFVwaCtxWmNsYU1UODJWaUYxUT09=U1Bxd010bkxtK2hrelViaVhaUjZWQT09&WnAyV3FOdHJ3dkNiMEgrMGxVcytZUT09=WW05OGFkc0NrOEtDOGw3Rkx3ZlBWUT09<==>Usergroup updated by boopathi<==>192.168.57.28<==>Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
2018-11-19-14:09:52<==>/MM/usermodules2.php<==>Menu position changed by boopathi<==>192.168.57.28<==>Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
2018-11-19-14:09:52<==>/MM/usermodules2.php<==>Menu position changed by boopathi<==>192.168.57.28<==>Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
2018-11-19-14:09:52<==>/MM/usermodules2.php<==>Menu position changed by boopathi<==>192.168.57.28<==>Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
2018-11-19-14:09:52<==>/MM/usermodules2.php<==>Menu position changed by boopathi<==>192.168.57.28<==>Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
2018-11-19-14:09:52<==>/MM/usermodules2.php<==>Menu position changed by boopathi<==>192.168.57.28<==>Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
2018-11-19-14:09:52<==>/MM/usermodules2.php<==>Menu position changed by boopathi<==>192.168.57.28<==>Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
2018-11-19-14:09:52<==>/MM/usermodules2.php<==>Menu position changed by boopathi<==>192.168.57.28<==>Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
2018-11-19-14:09:52<==>/MM/usermodules2.php<==>Menu position changed by boopathi<==>192.168.57.28<==>Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
2018-11-19-14:09:52<==>/MM/usermodules2.php<==>Menu position changed by boopathi<==>192.168.57.28<==>Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
2018-11-19-14:09:52<==>/MM/usermodules2.php<==>Menu position changed by boopathi<==>192.168.57.28<==>Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
2018-11-19-14:09:57<==>/MM/usermodules2.php<==>Menu position changed by boopathi<==>192.168.57.28<==>Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
2018-11-19-14:09:57<==>/MM/usermodules2.php<==>Menu position changed by boopathi<==>192.168.57.28<==>Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
2018-11-19-14:09:57<==>/MM/usermodules2.php<==>Menu position changed by boopathi<==>192.168.57.28<==>Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
2018-11-19-14:09:57<==>/MM/usermodules2.php<==>Menu position changed by boopathi<==>192.168.57.28<==>Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
2018-11-19-14:09:57<==>/MM/usermodules2.php<==>Menu position changed by boopathi<==>192.168.57.28<==>Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
2018-11-19-14:09:57<==>/MM/usermodules2.php<==>Menu position changed by boopathi<==>192.168.57.28<==>Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
2018-11-19-14:09:57<==>/MM/usermodules2.php<==>Menu position changed by boopathi<==>192.168.57.28<==>Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
2018-11-19-14:09:57<==>/MM/usermodules2.php<==>Menu position changed by boopathi<==>192.168.57.28<==>Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
2018-11-19-14:09:57<==>/MM/usermodules2.php<==>Menu position changed by boopathi<==>192.168.57.28<==>Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
2018-11-19-14:09:57<==>/MM/usermodules2.php<==>Menu position changed by boopathi<==>192.168.57.28<==>Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
2018-11-19-14:10:55<==>/MM/usermodules2.php?Tmd3ZFVwaCtxWmNsYU1UODJWaUYxUT09=U1Bxd010bkxtK2hrelViaVhaUjZWQT09&WnAyV3FOdHJ3dkNiMEgrMGxVcytZUT09=UkVJYVVxUlczcFIrV3B3REhjcnlmUT09<==>Menu updated by boopathi<==>192.168.57.28<==>Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
2018-11-22-12:10:14<==>/MM/registration.php?Tmd3ZFVwaCtxWmNsYU1UODJWaUYxUT09=alNBRXJkUHp3UEdoeWRTaUZrVDlNZz09&WnAyV3FOdHJ3dkNiMEgrMGxVcytZUT09=Q0xkMXovd0FkMThUWCtBQTNybWdIQT09<==>User Deactivated by dhanraj<==>192.168.57.172<==>Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.170 Safari/537.36
2018-11-22-12:10:56<==>/MM/registration.php?Tmd3ZFVwaCtxWmNsYU1UODJWaUYxUT09=d0E4aVBKRW9oakpaaDBpS3laV1dBZz09&WnAyV3FOdHJ3dkNiMEgrMGxVcytZUT09=Q0xkMXovd0FkMThUWCtBQTNybWdIQT09<==>User activated by dhanraj<==>192.168.57.172<==>Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.170 Safari/537.36
2018-11-28-14:26:19<==>/MM/registration.php?Tmd3ZFVwaCtxWmNsYU1UODJWaUYxUT09=alNBRXJkUHp3UEdoeWRTaUZrVDlNZz09&WnAyV3FOdHJ3dkNiMEgrMGxVcytZUT09=dTVKcVpvM1FaalRMb2VpZXJja3VUQT09<==>User Deactivated by mekala<==>192.168.57.101<==>Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36
2018-11-28-14:26:35<==>/MM/registration.php?Tmd3ZFVwaCtxWmNsYU1UODJWaUYxUT09=d0E4aVBKRW9oakpaaDBpS3laV1dBZz09&WnAyV3FOdHJ3dkNiMEgrMGxVcytZUT09=dTVKcVpvM1FaalRMb2VpZXJja3VUQT09<==>User activated by mekala<==>192.168.57.101<==>Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36
2019-02-22-11:40:52<==>/Milk/userreg.php<==>New user added by Pavithra<==>192.168.57.180<==>Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36
2019-02-22-11:41:32<==>/Milk/userreg.php?Tmd3ZFVwaCtxWmNsYU1UODJWaUYxUT09=U1Bxd010bkxtK2hrelViaVhaUjZWQT09&WnAyV3FOdHJ3dkNiMEgrMGxVcytZUT09=dTVKcVpvM1FaalRMb2VpZXJja3VUQT09<==>User registration updated by Pavithra<==>192.168.57.180<==>Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36
2019-02-22-12:05:33<==>/Milk/usergroup2.php<==>Usergroup inserted by Pavithra<==>192.168.57.180<==>Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36
